Year,Period,Value,Footnote
2024,M09,2.3,[{}]
2024,M08,2.5,[{}]
2024,M07,2.3,[{}]
2024,M06,2.4,[{}]
2024,M05,2.1,[{}]
2024,M04,2.2,[{}]
2024,M03,2.1,[{}]
2024,M02,2.2,[{}]
2024,M01,2.1,[{}]
2023,M12,2.1,[{}]
2023,M11,2.1,[{}]
2023,M10,2.1,[{}]
2023,M09,2.2,[{}]
2023,M08,2.2,[{}]
2023,M07,2.0,[{}]
2023,M06,2.0,[{}]
2023,M05,2.0,[{}]
2023,M04,1.9,[{}]
2023,M03,2.0,[{}]
2023,M02,2.1,[{}]
2023,M01,2.0,[{}]
2022,M12,1.9,[{}]
2022,M11,2.0,[{}]
2022,M10,1.9,[{}]
2022,M09,1.8,[{}]
2022,M08,1.9,[{}]
2022,M07,2.0,[{}]
2022,M06,2.1,[{}]
2022,M05,1.9,[{}]
2022,M04,2.0,[{}]
2022,M03,2.0,[{}]
2022,M02,2.2,[{}]
2022,M01,2.3,[{}]
2021,M12,2.1,[{}]
2021,M11,2.2,[{}]
2021,M10,2.4,[{}]
2021,M09,2.5,[{}]
2021,M08,2.8,[{}]
2021,M07,3.1,[{}]
2021,M06,3.4,[{}]
2021,M05,3.1,[{}]
2021,M04,3.5,[{}]
2021,M03,3.7,[{}]
2021,M02,3.8,[{}]
2021,M01,4.0,[{}]
2020,M12,3.8,[{}]
2020,M11,4.2,[{}]
2020,M10,4.2,[{}]
2020,M09,4.8,[{}]
2020,M08,5.3,[{}]
2020,M07,6.7,[{}]
2020,M06,6.8,[{}]
2020,M05,7.4,[{}]
2020,M04,8.4,[{}]
2020,M03,2.5,[{}]
2020,M02,1.9,[{}]
2020,M01,1.9,[{}]
2019,M12,2.0,[{}]
2019,M11,1.9,[{}]
2019,M10,2.1,[{}]
2019,M09,2.0,[{}]
2019,M08,2.1,[{}]
2019,M07,2.2,[{}]
2019,M06,2.1,[{}]
2019,M05,2.1,[{}]
2019,M04,2.1,[{}]
2019,M03,2.1,[{}]
2019,M02,2.2,[{}]
2019,M01,2.4,[{}]
2018,M12,2.2,[{}]
2018,M11,2.2,[{}]
2018,M10,2.0,[{}]
2018,M09,2.0,[{}]
2018,M08,2.0,[{}]
2018,M07,2.2,[{}]
2018,M06,2.3,[{}]
2018,M05,2.0,[{}]
2018,M04,2.1,[{}]
2018,M03,2.3,[{}]
2018,M02,2.2,[{}]
2018,M01,2.1,[{}]
2017,M12,2.2,[{}]
2017,M11,2.1,[{}]
2017,M10,2.1,[{}]
2017,M09,2.3,[{}]
2017,M08,2.4,[{}]
2017,M07,2.3,[{}]
2017,M06,2.3,[{}]
2017,M05,2.3,[{}]
2017,M04,2.5,[{}]
2017,M03,2.5,[{}]
2017,M02,2.4,[{}]
2017,M01,2.5,[{}]
2016,M12,2.5,[{}]
2016,M11,2.4,[{}]
2016,M10,2.6,[{}]
2016,M09,2.5,[{}]
2016,M08,2.6,[{}]
2016,M07,2.4,[{}]
2016,M06,2.5,[{}]
2016,M05,2.5,[{}]
2016,M04,2.5,[{}]
2016,M03,2.6,[{}]
2016,M02,2.5,[{}]
2016,M01,2.5,[{}]
2015,M12,2.5,[{}]
2015,M11,2.5,[{}]
2015,M10,2.5,[{}]
2015,M09,2.5,[{}]
2015,M08,2.4,[{}]
2015,M07,2.5,[{}]
2015,M06,2.5,[{}]
2015,M05,2.8,[{}]
2015,M04,2.7,[{}]
2015,M03,2.4,[{}]
2015,M02,2.7,[{}]
2015,M01,2.8,[{}]
2014,M12,2.8,[{}]
2014,M11,3.2,[{}]
2014,M10,3.0,[{}]
2014,M09,2.9,[{}]
2014,M08,3.2,[{}]
2014,M07,3.1,[{}]
2014,M06,3.3,[{}]
2014,M05,3.2,[{}]
2014,M04,3.3,[{}]
2014,M03,3.4,[{}]
2014,M02,3.4,[{}]
2014,M01,3.3,[{}]
2013,M12,3.3,[{}]
2013,M11,3.4,[{}]
2013,M10,3.7,[{}]
2013,M09,3.7,[{}]
2013,M08,3.4,[{}]
2013,M07,3.8,[{}]
2013,M06,3.8,[{}]
2013,M05,3.9,[{}]
2013,M04,3.9,[{}]
2013,M03,3.8,[{}]
2013,M02,3.9,[{}]
2013,M01,3.8,[{}]
2012,M12,4.0,[{}]
2012,M11,3.9,[{}]
2012,M10,3.7,[{}]
2012,M09,4.0,[{}]
2012,M08,4.1,[{}]
2012,M07,4.1,[{}]
2012,M06,4.0,[{}]
2012,M05,3.9,[{}]
2012,M04,4.0,[{}]
2012,M03,4.1,[{}]
2012,M02,4.2,[{}]
2012,M01,4.3,[{}]
2011,M12,4.1,[{}]
2011,M11,4.4,[{}]
2011,M10,4.3,[{}]
2011,M09,4.2,[{}]
2011,M08,4.2,[{}]
2011,M07,4.2,[{}]
2011,M06,4.3,[{}]
2011,M05,4.5,[{}]
2011,M04,4.5,[{}]
2011,M03,4.4,[{}]
2011,M02,4.3,[{}]
2011,M01,4.3,[{}]
2010,M12,4.8,[{}]
2010,M11,5.0,[{}]
2010,M10,4.6,[{}]
2010,M09,4.5,[{}]
2010,M08,4.6,[{}]
2010,M07,4.5,[{}]
2010,M06,4.4,[{}]
2010,M05,4.6,[{}]
2010,M04,4.8,[{}]
2010,M03,4.9,[{}]
2010,M02,4.9,[{}]
2010,M01,4.9,[{}]
